id,title,downloads,performanceScore,downloadsPerMonth,contentType,categories,uploadDate,contributorName,contributorId,keywords,adobeStockUrl,thumbnailUrl,isPremium,isAiGenerated
sample_0001,Autumn forest trail at golden hour,4821,78,142.3,Photo,nature;landscape,2023-11-04,Elena Marquez,contrib_1001,autumn|forest|trail|golden hour|leaves|hiking,https://stock.adobe.com/sample/0001,https://example.com/thumbs/0001.jpg,false,false
sample_0002,Minimalist home office desk flat lay,2913,71,98.1,Photo,lifestyle;workspace,2024-02-18,Omar Hassan,contrib_1002,office|desk|minimalist|flat lay|laptop|remote work,https://stock.adobe.com/sample/0002,https://example.com/thumbs/0002.jpg,false,false
sample_0003,Abstract AI-generated neon cityscape,11250,84,,Illustration,abstract;technology,2024-07-22,Priya Kapoor,contrib_1003,ai|neon|cityscape|futuristic|cyberpunk|abstract,https://stock.adobe.com/sample/0003,https://example.com/thumbs/0003.jpg,false,true
sample_0004,Business team celebrating success in office,7342,76,205.4,Photo,business;people,2023-05-30,Jonas Lindqvist,contrib_1004,business|team|celebration|success|office|diversity,https://stock.adobe.com/sample/0004,https://example.com/thumbs/0004.jpg,true,false
sample_0005,Hand-drawn botanical line art set,1578,64,52.6,Vector,illustration;nature,2024-09-10,Mei Tanaka,contrib_1005,botanical|line art|hand drawn|floral|leaves|sketch,https://stock.adobe.com/sample/0005,https://example.com/thumbs/0005.jpg,false,false
sample_0006,Drone shot of turquoise coastline,6204,79,248.2,Photo,travel;nature,2023-08-14,Carlos Vega,contrib_1006,drone|coast|ocean|turquoise|travel|beach,https://stock.adobe.com/sample/0006,https://example.com/thumbs/0006.jpg,false,false
sample_0007,Seamless geometric background pattern,932,58,23.3,Vector,background;pattern,2024-01-06,Fatima Zahra,contrib_1007,pattern|seamless|geometric|background|tile|repeat,https://stock.adobe.com/sample/0007,https://example.com/thumbs/0007.jpg,false,false
sample_0008,Healthy vegan salad bowl overhead,3501,72,116.7,Photo,food;lifestyle,2024-04-27,Ingrid Holm,contrib_1008,vegan|salad|healthy|bowl|food|overhead,https://stock.adobe.com/sample/0008,https://example.com/thumbs/0008.jpg,false,false
sample_0009,Slow-motion waterfall 4K footage,482,52,17.2,Video,nature;motion,2024-10-03,Rahul Shenoy,contrib_1009,waterfall|slow motion|4k|nature|water|footage,https://stock.adobe.com/sample/0009,https://example.com/thumbs/0009.jpg,true,false
sample_0010,Watercolor winter pine trees scene,2056,68,74.9,Illustration,nature;seasonal,2023-12-19,Sophie Laurent,contrib_1010,watercolor|winter|pine|snow|trees|holiday,https://stock.adobe.com/sample/0010,https://example.com/thumbs/0010.jpg,false,false
sample_0011,Futuristic data center rendered in 3D,1384,61,46.1,Illustration,technology;abstract,2024-06-05,Kenji Moreau,contrib_1011,data center|3d|technology|server|cloud|render,https://stock.adobe.com/sample/0011,https://example.com/thumbs/0011.jpg,false,true
sample_0012,Coffee shop worker making latte close-up,5897,74,178.7,Photo,lifestyle;food,2023-09-28,Anika Reyes,contrib_1012,coffee|barista|latte|cafe|small business|espresso,https://stock.adobe.com/sample/0012,https://example.com/thumbs/0012.jpg,false,false
